Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
806	8.0500	8.704444	-389.015808	1001.836121	64.756149	-382.936340	1004.919800	-15.625481	-364.916656	957.676208	38.056141	-359.070374	960.547913	34.389202	-293.314850	861.172363	213.085098	-469.817047	1207.208984	179.458435	-479.051056	1204.231934	256.302765	-441.536652	1180.514526	138.941391	-475.623444	1172.699951	217.353302	-439.073090	1148.651855
807	8.0600	8.711185	-389.021790	1001.834045	64.762634	-382.941498	1004.916443	-15.620337	-364.922028	957.675049	38.061134	-359.074890	960.545715	34.391216	-293.316406	861.171936	213.099380	-469.916046	1207.141724	179.477432	-479.142273	1204.167725	256.300903	-441.642303	1180.459961	138.944641	-475.697052	1172.648438	217.329102	-439.159729	1148.624268
808	8.0700	8.717803	-389.027740	1001.832031	64.769012	-382.946655	1004.913086	-15.615273	-364.927399	957.673828	38.066071	-359.079376	960.543518	34.393215	-293.317963	861.171509	213.126801	-470.000275	1207.075073	179.509125	-479.216461	1204.106812	256.311676	-441.739960	1180.401367	138.958145	-475.752747	1172.603638	217.314850	-439.238129	1148.595337
809	8.0800	8.724297	-389.033630	1001.830017	64.775284	-382.951752	1004.909729	-15.610288	-364.932739	957.672607	38.070938	-359.083862	960.541321	34.395199	-293.319519	861.171021	213.165710	-470.069336	1207.010376	179.551819	-479.273254	1204.050415	256.333954	-441.828857	1180.339844	138.980591	-475.790527	1172.565918	217.310120	-439.307800	1148.565796
810	8.0900	8.730666	-389.039490	1001.828003	64.781448	-382.956848	1004.906433	-15.605384	-364.938080	957.671326	38.075741	-359.088348	960.539124	34.397163	-293.321075	861.170532	213.214432	-470.123047	1206.948608	179.603714	-479.312683	1203.999390	256.366577	-441.908447	1180.276611	139.010620	-475.810547	1172.536133	217.314331	-439.368317	1148.535767
811	8.1000	8.736910	-389.045319	1001.825928	64.787498	-382.961914	1004.903137	-15.600559	-364.943359	957.670105	38.080479	-359.092804	960.536926	34.399113	-293.322601	861.170044	213.271133	-470.161469	1206.891113	179.662903	-479.335052	1203.954712	256.408234	-441.978241	1180.212769	139.046814	-475.813293	1172.514648	217.326859	-439.419495	1148.505737
812	8.1100	8.743030	-389.051117	1001.823914	64.793434	-382.966980	1004.899841	-15.595816	-364.948669	957.668823	38.085155	-359.097260	960.534790	34.401043	-293.324158	861.169556	213.334061	-470.184937	1206.838745	179.727524	-479.340851	1203.916992	256.457581	-442.037933	1180.149170	139.087769	-475.799591	1172.501465	217.347092	-439.461182	1148.475830
813	8.1200	8.749022	-389.056885	1001.821899	64.799263	-382.971985	1004.896606	-15.591153	-364.953918	957.667542	38.089764	-359.101715	960.532593	34.402958	-293.325684	861.169006	213.401443	-470.194031	1206.792114	179.795746	-479.330994	1203.886841	256.513367	-442.087372	1180.086670	139.132156	-475.770447	1172.496826	217.374374	-439.493439	1148.445923
814	8.1300	8.754890	-389.062622	1001.819824	64.804977	-382.976990	1004.893372	-15.586571	-364.959167	957.666199	38.094307	-359.106140	960.530396	34.404854	-293.327209	861.168457	213.471695	-470.189514	1206.751709	179.865860	-479.306488	1203.864136	256.574371	-442.126465	1180.025879	139.178757	-475.727173	1172.500244	217.408081	-439.516418	1148.416016
815	8.1400	8.760633	-389.068329	1001.817810	64.810585	-382.981964	1004.890137	-15.582070	-364.964417	957.664917	38.098785	-359.110565	960.528198	34.406734	-293.328766	861.167847	213.543365	-470.172424	1206.717529	179.936356	-479.268768	1203.849121	256.639435	-442.155334	1179.966797	139.226486	-475.671326	1172.511108	217.447647	-439.530334	1148.385498
