Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z		
204	0	-35.275475	-340.970520	1007.678650	20.856346	-344.839874	1010.785095	-54.872746	-313.445557	963.493652	-1.064969	-317.312866	966.288452	7.257206	-253.179306	865.686951	160.194595	-371.757019	1222.896118	177.006531	-390.522278	1198.719604	116.793236	-333.636322	1230.805786	175.959229	-402.060883	1148.727905	116.893631	-343.149292	1181.651245			
205	0	-35.277821	-340.971527	1007.678406	20.854012	-344.840790	1010.785339	-54.874977	-313.446136	963.493347	-1.067109	-317.313660	966.288147	7.256019	-253.179855	865.687256	160.419891	-371.334534	1222.616333	177.162064	-390.189484	1198.458130	117.075012	-333.142944	1230.512207	175.982376	-401.886261	1148.504395	117.050835	-342.810974	1181.397583			
206	0	-35.280170	-340.972595	1007.678040	20.851675	-344.841736	1010.785583	-54.877209	-313.446686	963.492981	-1.069248	-317.314484	966.287842	7.254832	-253.180389	865.687561	160.607925	-370.913483	1222.347778	177.286636	-389.858917	1198.208252	117.316254	-332.652679	1230.224609	175.990234	-401.717041	1148.285889	117.182182	-342.478271	1181.148804			
207	0	-35.282528	-340.973663	1007.677795	20.849340	-344.842743	1010.785706	-54.879444	-313.447205	963.492615	-1.071388	-317.315247	966.287415	7.253645	-253.180893	865.687866	160.753876	-370.501556	1222.091919	177.376556	-389.536591	1197.971313	117.511635	-332.174164	1229.944824	175.981293	-401.555695	1148.072998	117.284470	-342.156219	1180.905762			
208	0	-35.284878	-340.974792	1007.677551	20.847006	-344.843689	1010.786072	-54.881680	-313.447815	963.492310	-1.073528	-317.316071	966.287109	7.252458	-253.181396	865.688171	160.854004	-370.106537	1221.850098	177.428818	-389.228455	1197.748291	117.656815	-331.716003	1229.674683	175.954376	-401.404724	1147.865967	117.355156	-341.849792	1180.670044			
209	0	-35.287224	-340.975861	1007.677307	20.844667	-344.844604	1010.786316	-54.883915	-313.448364	963.492004	-1.075668	-317.316895	966.286865	7.251271	-253.181931	865.688354	160.905441	-369.736298	1221.622925	177.441299	-388.940674	1197.539429	117.748528	-331.286652	1229.415527	175.908691	-401.266602	1147.665283	117.392410	-341.563843	1180.441895			
210	0	-35.289574	-340.976929	1007.676941	20.842337	-344.845581	1010.786438	-54.886158	-313.448975	963.491699	-1.077808	-317.317657	966.286499	7.250084	-253.182465	865.688660	160.906403	-369.398132	1221.411377	177.412720	-388.678894	1197.344604	117.784698	-330.894196	1229.168945	175.843887	-401.143524	1147.470337	117.395172	-341.302979	1180.222046			
211	0	-35.291924	-340.977997	1007.676697	20.840000	-344.846558	1010.786682	-54.888393	-313.449524	963.491333	-1.079948	-317.318481	966.286194	7.248898	-253.183014	865.688965	160.856262	-369.099152	1221.214966	177.342682	-388.448669	1197.163818	117.764526	-330.546234	1228.935547	175.760101	-401.037567	1147.281372	117.363136	-341.071411	1180.010864			
212	0	-35.294277	-340.979034	1007.676453	20.837667	-344.847534	1010.786865	-54.890629	-313.450134	963.490967	-1.082087	-317.319305	966.285828	7.247711	-253.183517	865.689270	160.755463	-368.845551	1221.033691	177.231781	-388.254822	1196.996094	117.688416	-330.249298	1228.716553	175.657822	-400.950684	1147.097656	117.296829	-340.872833	1179.808594			
213	0	-35.296627	-340.980103	1007.676270	20.835337	-344.848480	1010.787109	-54.892868	-313.450714	963.490601	-1.084226	-317.320068	966.285522	7.246525	-253.184021	865.689575	160.605621	-368.642670	1220.866943	177.081482	-388.101532	1196.840454	117.558136	-330.009125	1228.511719	175.538040	-400.884338	1146.918579	117.197533	-340.710327	1179.615112			
214	0	-35.298973	-340.981171	1007.675903	20.833004	-344.849457	1010.787231	-54.895103	-313.451324	963.490295	-1.086365	-317.320892	966.285156	7.245339	-253.184555	865.689819	160.409576	-368.494843	1220.713135	176.894165	-387.992126	1196.695190	117.376648	-329.830017	1228.321289	175.402069	-400.839722	1146.743164	117.067337	-340.586273	1179.430176			
215	0	-35.301319	-340.982269	1007.675659	20.830673	-344.850433	1010.787476	-54.897343	-313.451904	963.489868	-1.088503	-317.321655	966.284729	7.244154	-253.185089	865.690125	160.171158	-368.405060	1220.571411	176.673141	-387.929047	1196.559082	117.148201	-329.715088	1228.145020	175.251755	-400.817566	1146.570679	116.909035	-340.502319	1179.252808			
